"Geneid","LC_C2","LC_C3","LC_C5","LC_C7","LC_C9","LC_S1","LC_S2","LC_S3","LC_S4","LC_S5"
8573,1124,1028,959,634,1193,1435,1079,2227,3043,1283
8574,707,848,618,590,747,409,598,428,995,1142
8575,977,816,762,669,1014,713,957,1587,974,1077
8576,385,448,344,325,477,369,496,769,603,500
8577,1,1,0,0,0,0,0,3,0,0
8578,3,1,1,2,1,3,1,0,0,0
8581,0,4,10,0,0,5,22,32,2256,12
8587,3,3,0,0,2,2,1,1,1,1
8590,0,0,0,0,0,0,0,0,0,0
8600,2,2,3,3,5,106,44,58,7,1
8601,5,2,1,41,1,4,27,24,70,5
8602,947,676,571,717,945,845,1021,1330,1583,881
8603,1032,890,777,830,1037,632,935,1121,846,828
8604,594,566,422,598,491,595,817,1246,748,809
8605,285,386,297,197,400,161,324,96,77,179
8607,453,609,500,384,544,543,559,1344,2788,395
8608,15,25,27,15,18,22,44,36,6,23
8609,3461,1887,1625,1585,2799,967,1311,4442,987,927
8611,678,508,448,1540,1014,705,698,399,369,492
8612,41,372,384,86,50,89,968,2120,1091,1056
8613,4486,3891,3778,7368,6659,1357,2097,1154,1259,2002
8614,86,67,422,235,596,205,187,151,64,26
8615,3513,3070,2669,1282,2615,3171,3134,3664,3986,4169
8618,33,12,44,26,20,30,41,3,6,58
8620,75,63,107,66,74,65,102,57,64,36
8621,1990,1667,1553,1058,1519,1428,1875,2006,2018,1871
8622,727,749,378,144,497,133,191,174,82,144
8623,25,56,1,73,140,2,71,17,1,110
8624,345,215,301,299,382,329,296,470,834,419
8625,395,432,361,355,434,340,589,415,435,300
8626,71,145,328,18,61,71,204,744,763,64
8629,781,1086,591,189,446,720,963,1073,474,758
8630,1561,2310,1028,73,2571,155,106,148,47,1752
8631,180,165,142,186,211,164,200,57,173,239
8632,245,494,213,152,232,167,263,361,130,499
8633,351,339,273,327,499,633,319,163,167,193
8634,812,690,627,426,729,545,696,821,1134,638
8635,1614,835,922,2259,1642,1045,1265,623,1464,1933
8636,549,627,453,462,663,342,462,494,756,264
8637,35,32,34,49,25,19,31,14,32,48
8638,254,344,729,158,662,105,273,104,378,85
8639,7117,5368,4366,3547,6656,1737,2894,528,466,2481
8641,54,48,26,12,38,13,23,27,4,15
8642,1984,1031,1332,1269,1935,1490,1859,575,375,552
8643,74,82,83,71,34,152,126,45,42,50
8644,888,706,641,517,1155,305,743,38251,1135,343
8645,332,466,435,170,450,376,1904,563,1485,2333
8646,195,126,209,427,299,170,572,54,54,382
8647,1,1,0,4,0,1,0,0,6,1
8648,2810,2361,1947,1997,2342,1981,1562,2183,1183,2083
8649,1206,1193,896,656,1259,591,709,813,906,1012
8650,3939,3475,2889,1918,3766,1559,2691,3339,2545,2791
8651,322,68,192,462,525,154,78,32,197,95
8653,3728,16,2910,3698,4101,2145,2451,582,1029,2059
8654,3269,2953,2270,1053,2150,1433,1309,902,580,1718
8655,2144,2630,2174,1798,2584,1636,1908,3132,3928,1229
8658,1694,1645,1281,816,1468,1288,1407,3113,718,1512
8659,346,333,261,758,304,254,481,334,357,477
8660,2696,1343,1123,1685,2952,373,541,3395,546,1050
8661,6841,5344,4582,4011,5249,5341,5694,12248,8730,5061
8662,2563,2192,2083,2353,2509,2218,2715,10183,8012,3739
8663,631,196,361,185,199,248,238,741,626,256
8664,2792,2787,2207,3196,3154,2308,3256,4048,3669,2841
8665,2261,2223,1473,2477,2298,1603,2129,3685,2231,2035
8666,1949,2011,1411,2503,1763,1275,2070,1685,1660,1686
8667,3511,3256,2319,2730,3833,2517,4078,5614,6886,3228
8668,1807,1909,1589,2477,2337,1688,2296,2596,3771,2289
8669,1265,920,919,751,1151,1216,1262,1297,2034,1427
8671,980,1026,1222,92,966,393,1314,231,200,879
8672,1973,1283,1495,1243,1549,2482,2183,3149,3139,1914
8673,2100,2443,2057,1629,2800,1100,1817,2960,2618,2917
8674,1443,1198,961,583,999,581,877,1323,562,948
8675,2573,2281,2244,1184,2396,1671,2576,4096,2233,1759
8676,1782,1512,1263,1243,2190,209,177,108,209,213
8677,734,749,683,501,1039,415,877,576,619,579
8678,1136,933,871,902,1271,785,1243,1952,1327,1189
8681,1,1,0,0,0,0,1,0,1,0
8682,4587,3416,3694,4469,5305,3568,3239,3097,4040,2831
8683,753,683,636,638,760,604,750,1095,1637,680
8685,9896,4132,7037,2717,9425,349,432,299,2715,766
8687,0,0,1,0,0,0,0,0,0,0
8688,0,0,0,0,0,0,0,0,0,0
8689,3,0,0,0,0,4,2,0,0,2
8690,394,512,392,117,327,395,491,1363,942,678
8692,4635,2930,1700,2957,4852,1235,1530,1191,1978,682
8693,25,23,20,5,26,11,20,21,70,15
8694,777,529,702,645,862,415,1037,1858,611,1159
8697,872,702,672,362,866,694,834,896,1033,1092
8698,368,320,269,126,440,101,142,35,53,32
8701,56,1215,643,27,113,78,207,37,255,203
8702,417,329,356,277,395,489,620,1329,638,342
8703,657,660,641,858,770,741,926,1939,913,935
8704,425,361,281,291,485,581,549,781,1465,675
8705,0,0,0,0,0,0,0,0,0,0
8706,1120,1139,670,176,867,382,300,600,3199,250
8707,193,165,134,29,98,51,43,416,12,137
8708,10,7,1,4,3,3,10,3,1,2
8710,0,1,3,0,0,3,2,2,1,0
8711,146,253,146,88,132,112,344,276,130,232
8712,0,0,0,0,0,0,0,0,486,0
8714,1125,771,2097,341,1299,897,8679,15441,8021,1099
8715,3,5,3,1,2,1,6,12,2,0
8717,521,543,583,446,609,330,579,401,583,564
8718,185,197,259,95,196,254,617,279,262,295
8720,3866,4006,2954,2783,3923,2636,3386,3659,3749,3431
8721,1974,2279,1945,2232,2305,1892,2265,2273,3559,1822
8722,1169,1415,1062,2754,1163,806,677,1600,601,1718
8723,1253,1198,840,541,1095,736,771,1993,1122,904
8724,3666,3415,2748,3312,4119,2208,2285,1837,3727,2268
8725,1430,1415,1134,935,1203,1169,1295,2411,2421,1891
8726,459,462,355,246,423,484,534,715,958,504
8727,2473,1307,2086,560,2217,488,656,516,1370,771
8728,573,382,510,553,1101,1445,1068,901,926,334
8729,2505,2123,2051,1602,2275,2259,2622,3694,3494,1839
8731,1685,1446,1213,854,1251,1096,1346,2255,940,4536
8732,614,498,434,328,546,563,447,658,703,418
8733,1764,1510,1271,1164,1765,828,1689,2452,1779,1205
8735,2,4,3,6,0,5,7,4,2,2
8736,152,73,73,359,65,67,212,69,34,461
8737,1510,1377,1309,1474,1594,948,1685,1614,1204,1305
8738,148,209,159,126,237,96,136,114,165,98
8739,3,10,4,33,2,2,5,0,2,0
8740,121,116,256,556,377,632,197,28,88,87
8741,729,545,471,521,638,197,275,184,424,581
8742,1026,857,635,717,836,247,480,216,295,479
8743,3819,6310,4683,930,3514,1571,4729,700,9623,2520
8744,64,50,61,355,71,14,180,46,77,35
8745,128,40,54,119,119,88,220,200,29,38
8747,3,9,5,0,3,4,4,9,1,5
8748,12,10,3,0,8,3,9,17,4,7
8749,0,0,0,0,0,0,0,0,0,0
8751,2230,2051,2211,4041,2796,1420,2548,2350,3450,3085
8754,3490,2508,2110,1406,2737,1876,3646,4320,4249,4457
8755,0,0,0,0,0,0,0,0,0,0
8756,0,1,0,0,0,0,0,0,0,1
8759,195,179,141,21,139,129,164,186,82,85
8760,2863,2402,1729,2412,2684,1251,1651,1983,1062,1547
8761,2952,2090,2238,7567,3097,2709,2946,3024,3811,2918
8763,11021,8033,7481,8633,10038,5009,4684,7696,12121,9927
8764,10,5,18,213,180,6,15,3,9,9
8766,4744,3805,3583,3285,5412,2010,3008,3335,3859,2888
8767,556,319,422,626,581,332,587,590,1233,452
8771,5,4,4,21,8,3,7,8,8,6
8772,413,450,366,218,518,264,372,573,798,322
8773,2859,2263,1973,2048,3112,1480,1614,1712,1755,2007
8774,1207,782,911,556,998,631,885,1598,1022,4643
8775,2346,2029,1794,2658,2382,1132,1767,2303,2303,2182
8776,1192,879,852,542,966,794,959,1428,1137,1159
8777,1901,1724,1204,986,1298,1112,1253,1028,499,688
8778,189,125,80,132,367,102,51,10,97,107
8780,2710,2118,2165,1954,2502,1519,1770,3302,3076,2074
8784,26,23,57,192,52,60,69,84,255,45
8785,1,8,3,16,6,2,1,4,3,2
8786,263,225,205,170,252,93,154,180,36,171
8787,105,129,96,36,147,50,51,24,7,29
8788,3,0,9,1,0,0,0,0,0,0
8789,2,24,11,3,6,0,2,11,2,2
8790,562,559,457,175,539,398,393,577,477,626
8792,171,123,127,138,82,144,144,427,768,187
8793,505,224,594,942,1498,281,455,614,231,434
8794,177,44,158,201,361,63,135,262,66,66
8795,2485,1237,2213,4012,3448,1642,2322,5515,1945,1636
8796,3372,5807,2341,41,3850,211,1290,82,530,610
8797,192,180,217,212,232,166,306,606,355,306
8798,414,244,241,254,310,335,225,237,287,474
8799,754,721,532,312,802,525,818,1298,563,783
8800,218,350,230,63,208,146,244,190,206,463
8801,1858,1446,1404,1051,2022,1083,2018,1718,1781,1749
8802,1086,1086,850,742,1280,755,965,1859,1423,1019
8803,827,886,637,435,844,520,606,1145,706,746
8804,5265,3402,3300,7746,4355,3238,3345,5021,3367,5660
8805,1180,886,613,294,665,518,774,1076,791,2285
8807,179,121,97,410,437,124,74,13,34,26
8808,23,15,32,107,93,68,175,160,583,117
8809,1587,352,449,565,1630,349,379,51,329,220
8811,2,2,2,13,11,1,11,2,1,2
8812,967,777,855,1029,948,749,916,1411,1308,1064
8813,699,621,559,487,816,442,507,929,529,538
8814,492,588,473,123,407,235,358,305,365,214
8815,1027,1133,940,778,1085,816,1033,2114,2192,1194
8816,2399,2212,2095,1575,2038,1601,2736,2885,1367,2396
8817,62,72,57,113,54,8,58,376,7,42
8818,406,443,439,347,509,338,420,558,789,409
8819,263,99,106,507,266,126,83,100,437,146
8820,28,26,24,13,27,26,42,36,31,47
8821,243,183,211,322,247,297,778,349,857,242
8822,25,29,45,13,26,3,25,23,0,6
8823,0,1,0,7,0,0,0,2,0,0
8824,1332,1234,1011,820,1149,575,944,736,783,1082
8825,882,1072,513,352,640,174,160,493,87,78
8826,16419,11646,10161,9827,13490,6860,11091,10729,12246,15773
8828,3006,2335,2531,1783,1890,1564,2483,1388,2443,1245
8829,7099,3867,4532,2858,5920,3576,5487,2408,12968,4375
8831,1,18,11,19,13,9,19,30,39,25
8832,2359,690,1043,3854,1414,1955,1532,529,2647,2625
8833,1010,833,744,679,886,873,853,1816,3507,854
8834,295,272,214,242,373,184,271,409,268,231
8835,1707,433,1164,1374,3559,1831,823,112,322,440
8836,181,224,154,77,265,136,262,1871,436,167
8837,11940,10837,7956,5391,11691,5237,6799,5934,5358,5928
8838,4,6,6,2,5,4,14,4,111,1
8839,1207,744,1064,5790,1016,56,328,46,86,266
8840,133,84,116,429,286,1638,632,537,909,108
8841,983,855,761,770,937,875,1141,1000,1785,1245
8842,31,449,449,1,65,464,310,722,177,303
8843,201,90,197,89,244,28,9,44,23,32
8844,1893,1185,1632,880,1963,1538,1998,1524,1079,1632
8846,238,208,209,171,254,181,257,329,205,254
8847,74,81,84,55,80,39,49,125,144,76
8848,9771,5882,5144,5277,9697,2560,4859,3804,3187,4311
8850,1924,2157,1422,986,1830,833,1050,399,955,722
8851,98,50,28,48,142,82,105,207,229,51
8852,1,0,0,0,0,0,0,1,0,0
8853,1329,1333,1122,1253,1320,624,906,2427,1591,666
8854,304,342,809,660,400,126,285,506,49,1875
8856,2,5,6,6,3,9,36,201,3,8
8857,412,497,334,60,269,162,1109,321,67462,3369
8858,6,7,3,2,11,2,9,5,1,3
8859,2,2,0,0,0,1,1,2,2,1
8861,2700,2724,2441,2055,2146,1627,2604,6173,1452,2288
8862,795,93,426,17,445,104,58,393,14,13
8863,4104,2101,420,578,1115,513,1197,606,826,3936
8864,1346,843,600,1366,1435,595,1335,519,556,1190
8867,1207,792,680,538,859,616,847,627,897,695
8869,1785,1556,1414,901,1517,913,2045,1037,789,1878
8870,0,2,0,6,4,0,5,5,7,1
8871,346,226,286,709,512,770,822,776,2173,730
8872,933,741,621,568,992,749,717,1812,1968,788
8874,2394,2032,1903,1981,2064,1736,2875,4267,1197,2310
8875,450,195,161,528,2138,281,304,41,546,163
8876,220,44,55,423,414,89,101,59,376,142
8877,143,209,223,1029,614,251,264,126,284,68
8878,7316,6594,7428,18148,6962,4733,8199,11681,7626,5423
8879,1350,1569,1168,996,1653,1815,1680,5145,3025,1666
8880,1486,1328,1112,635,1352,1249,1656,3121,2381,1547
8881,1767,1934,1702,791,1636,1230,1523,3623,1173,1925
8882,591,507,467,693,769,518,583,858,1416,615
8883,862,799,656,461,792,627,997,1412,1020,1231
8884,459,334,408,360,459,681,1070,1126,744,944
8886,2411,2065,1711,1654,2312,1685,2186,4653,2816,2572
8887,4414,4109,3235,1818,3453,2200,3105,8436,7048,5548
8888,2612,2311,2049,1678,2561,2026,2836,2468,2753,2577
8890,692,652,600,697,647,638,1089,1468,853,1034
8891,410,325,301,255,460,340,361,381,610,457
8892,385,363,297,365,510,365,577,757,948,328
8893,1096,1091,1050,858,1193,1026,1388,1904,1942,1061
8894,2056,1559,1545,1105,2060,1369,1698,2929,6110,1243
8895,3518,4308,2662,1969,3793,1968,3317,6896,1381,4772
8896,521,495,425,473,705,327,469,551,1322,427
8897,2239,1857,1894,1515,2313,1390,2795,2129,895,2256
8898,1110,1144,970,935,980,747,1049,1907,1581,844
8899,3642,3303,2691,1071,2624,2547,3580,5918,2575,4177
8900,6,145,68,44,15,24,6,2,5,23
8904,1336,1687,1648,1854,1583,1663,2252,4837,2724,1642
8905,1212,960,1113,1612,1372,804,663,440,1436,797
8906,1027,1001,1054,484,1078,936,2092,2565,1521,1692
8907,1325,1155,910,1234,1184,624,805,772,909,697
8908,23,55,39,54,18,88,145,365,96,185
8909,14,16,17,72,20,10,44,6,5,12
8910,1216,1850,1288,861,1222,470,325,592,418,384
8911,18,16,21,55,32,15,68,7,8,22
8912,607,296,352,1523,578,244,782,159,118,105
8913,36,13,16,42,32,100,27,7,43,60
8914,376,276,312,193,431,520,722,1634,1720,585
8915,725,386,512,559,855,302,567,456,1306,387
8916,1560,1147,979,1095,1412,543,771,422,737,1343
8924,618,707,370,334,593,387,544,475,459,526
8925,3955,3485,2492,1833,3245,1894,1979,1628,1434,2696
8926,0,0,1,1,1,1,2,0,0,0
8927,92,59,56,33,66,34,71,128,32,55
8928,0,2,1,0,1,1,5,8,2,4
8929,0,0,0,0,0,0,0,0,0,0
8930,1294,1006,986,589,1058,1222,1308,1170,2101,987
8932,2178,1922,1570,1905,2249,1335,1397,2035,2987,1727
8933,1306,1194,922,1621,1304,764,853,1550,1132,975
8934,1051,852,875,684,1027,734,921,1112,583,699
8935,2934,1798,1853,2004,2930,1201,1126,4796,1280,1306
8936,119,132,114,288,108,187,152,197,338,119
8938,86,592,532,114,147,104,137,88,91,399
8939,1708,1381,1190,992,1396,953,1240,1677,1742,1020
8940,433,385,301,227,455,391,578,537,290,402
8941,0,0,1,0,0,0,2,0,7,1
8942,760,187,558,420,868,259,590,176,2224,213
8943,3342,2808,2816,2126,3445,2405,2833,2878,3544,3059
8944,0,0,0,0,0,0,0,0,0,0
8945,726,724,663,387,765,603,825,1387,563,524
8968,1,0,0,0,0,0,0,1,0,0
8969,1,2,0,3,5,3,2,3,9,2
8970,4,5,4,3,12,9,8,12,44,8
8971,2199,1909,1627,2857,1922,597,958,1218,1770,899
8972,24,9,2,28,112,8,0,0,15,15
8973,4,1,1,0,8,5,11,6,10,11
8974,1230,1326,883,635,1247,692,599,1249,2591,1070
8975,1130,766,703,619,1075,526,766,1092,932,799
8976,2050,2093,1538,1339,1591,1166,1640,2015,2737,1755
8985,1127,951,864,1406,1317,747,1021,1044,3352,797
8986,1018,732,703,703,993,744,1021,1215,2024,580
8987,62,68,75,38,69,31,68,71,41,44
8988,18,4,8,40,34,1,3,1,1,6
8989,7,0,12,2,4,13,6,20,8,9
8991,6970,8452,5791,761,6834,2287,2092,2030,563,7748
8992,3105,2518,2291,3359,4186,2049,2614,2063,3707,2414
8993,5,8,4,11,92,4,8,6,0,1
8994,3056,3594,2239,625,2246,1143,1222,1675,900,1958
8995,2,2,3,10,2,6,11,13,7,8
8996,648,785,569,387,593,404,789,663,860,870
8997,666,436,356,881,538,425,775,190,168,258
8999,768,706,486,6,675,323,574,342,144,856
9001,24,25,44,13,19,8,20,20,4,14
9002,258,61,43,299,852,92,55,67,115,16
9013,2015,1261,1423,948,1515,1203,1654,1342,1269,1364
9014,433,384,393,176,434,278,281,722,482,466
9015,189,202,161,71,170,184,205,277,209,237
9016,151,209,190,113,168,164,213,352,176,308
9019,2176,1909,1837,2581,2925,3569,3311,6999,3150,2925
9020,538,629,810,975,810,756,726,936,501,565
9021,11054,616,7457,37087,17458,1793,2156,563,2457,2489
9022,1023,1184,674,52,1257,154,114,12,255,45
9023,172,82,374,339,2637,195,68,53,62,188
9024,17,14,23,55,35,9,34,4,112,9
9025,468,425,308,227,475,352,398,857,365,347
9026,990,877,870,790,1148,707,1867,2257,1654,408
9027,2,4,3,0,2,1,3,0,0,2
9028,11,26,23,24,30,17,48,22,68,43
9031,3011,2678,2112,1856,2560,1888,2193,1692,3399,2998
9032,0,0,0,0,0,0,1,36,0,0
9033,77,18,31,214,25,70,75,8,29,52
9034,487,366,379,843,456,141,168,50,234,295
9037,4593,4832,2199,378,3803,1027,880,403,209,296
9038,0,0,0,0,0,0,0,0,0,0
9039,1674,1352,1257,734,1682,1240,2175,1621,1926,1042
9040,557,622,526,745,564,366,523,1179,1401,472
9043,5876,5344,3738,3256,5663,2684,3653,4452,4334,6255
9044,2949,2324,1826,986,2173,2508,2216,4700,2062,2055
9045,7191,7608,5325,7433,9471,6261,8422,7641,8607,5818
9046,1414,838,1057,1149,1125,295,381,181,620,543
9047,68,68,105,225,281,126,159,112,90,62
9048,9,23,45,36,18,28,79,44,24,21
9049,960,1065,768,1217,990,550,774,1350,875,741
9050,625,329,429,301,883,534,357,298,879,569
9051,236,202,212,373,429,279,326,96,374,243
9052,9880,12016,9662,3034,13205,2613,4825,949,1623,3927
9053,643,716,530,118,530,318,480,1196,1052,932
9054,386,368,313,271,400,320,451,703,589,467
9055,144,84,142,106,189,174,258,1120,1755,326
9056,3207,1665,1524,2431,2481,981,759,894,1441,1234
9057,1951,1657,1796,1381,1817,1709,1795,1005,1995,1264
9058,10,28,3,0,4,0,4,297,1,128
9060,6784,6207,4292,2905,7063,2080,1211,978,3955,1033
9061,2157,2433,2570,988,2806,1092,1265,1376,2116,1769
9063,972,707,691,484,649,622,591,1383,824,782
9064,1987,1519,1221,1902,2175,793,1549,545,1284,1125
9066,193,118,186,226,131,185,258,1553,164,599
9068,489,471,325,1379,425,158,209,22,59,142
9069,920,1025,918,402,866,604,1361,1966,3374,1092
9070,1107,1000,803,676,1092,672,1073,1453,630,1170
9071,16,15,13,5,26,67,41,3306,33,7
9073,3,278,164,0,5,2,23,37,7,204
9074,1,1,4,0,0,4,0,10,4782,15
9075,18,10,246,4,7,53,1460,8883,247,182
9076,112,462,1206,152,258,343,2197,250,4839,585
9077,154,114,163,47,61,71,113,16,22,121
9079,3394,2071,2287,1442,3004,844,1569,322,337,426
9080,12,33,36,7,8,13,19,77,127,25
9081,0,0,0,0,0,0,0,0,0,0
9082,0,0,0,0,0,0,0,0,0,0
9083,0,0,0,0,0,0,0,0,0,0
9084,0,0,0,0,0,0,0,0,0,0
9085,0,0,0,0,0,0,0,0,0,0
9086,423,4,352,224,536,329,350,129,188,321
9087,53,0,35,22,47,23,37,12,16,50
9088,19,19,22,5,29,29,42,149,597,27
9091,1079,1178,988,529,1105,462,770,509,1312,798
9092,1183,1059,975,1202,1203,803,1104,2072,1668,1107
9093,0,2,0,0,0,0,0,0,0,1
9094,505,332,309,246,481,285,453,644,472,376
9095,135,181,117,81,126,91,147,232,185,122
9096,7,10,1,42,9,20,17,8,3,5
9097,1687,1322,1241,997,1511,1321,1624,4123,2984,2748
9098,22,69,67,11,21,21,26,37,17,23
9099,55,176,266,685,231,36,75,88,76,53
9100,1453,1179,1046,1004,1499,1237,1276,1638,2913,1587
9101,1906,1560,1220,724,1335,1085,1328,1320,1389,1760
9103,516,242,321,219,282,334,330,83,383,550
9104,311,235,285,97,341,80,193,328,25,258
9107,2261,1475,1403,1191,1762,1075,1207,1833,1023,1183
9108,104,87,90,41,96,73,48,725,29,116
9110,1775,1518,1139,794,1178,1488,1647,2833,1529,2076
9111,619,483,482,319,870,395,720,509,1236,638
9112,1229,1300,1307,1046,1267,951,1353,2061,1711,1194
9113,1911,1578,1269,741,1527,981,1088,1293,1670,1540
9114,2568,1718,1645,2574,2527,1298,1635,890,2599,1995
9117,2239,1905,1352,1424,2144,987,1025,1066,1426,1058
9118,1,3,2,2,2,1,3,6,1,1
9119,0,0,1,1,0,0,6,0,0,1
9120,348,113,218,590,258,123,113,50,156,170
9121,1234,1486,1886,416,1895,406,1032,414,979,1152
9122,540,505,517,275,874,338,561,500,416,630
9123,1165,687,1285,1896,1641,897,1069,1307,6452,1146
9124,3878,3264,4420,9137,7007,2416,2710,1567,3181,1241
9125,1090,869,1056,964,1273,1031,1217,2151,1744,1083
9126,1852,1797,1355,579,1077,1232,1280,4782,2784,1867
9127,48,55,32,14,32,3,14,2,5,20
9128,562,491,471,590,799,525,615,720,1211,536
9129,1278,1309,1116,591,1228,951,1402,3913,1177,1833
9130,1158,971,934,1091,1153,757,965,1779,1717,1468
9131,535,463,403,399,559,505,760,980,967,1840
9132,117,76,74,76,51,51,130,237,111,75
9133,47,18,47,25,65,56,99,577,1074,96
9134,129,91,93,44,104,76,110,656,714,118
9135,2688,2068,1726,1707,1905,1963,2200,1842,1494,2131
9136,260,212,229,283,268,249,247,309,744,167
9138,4269,3383,3464,2716,4461,2904,4385,3764,2268,4193
9139,1274,1121,1051,603,1133,759,1324,1792,863,1093
9140,1190,1128,910,685,1056,913,1028,1074,1378,1122
9141,581,584,583,365,598,703,766,1534,1731,628
9142,1,1,0,0,0,0,0,0,0,0
9143,8,7,7,24,16,29,27,11,10,4
9144,3580,3385,3731,2424,4104,1573,3652,3770,6569,4304
9145,330,264,251,387,299,145,407,64,31,117
9146,1797,1681,1610,1585,1925,1155,1835,3828,2206,1691
9147,1631,1356,1217,479,982,1142,1395,1782,1215,1730
9148,52,43,46,26,27,26,49,246,14,17
9149,437,584,429,231,439,165,468,584,440,280
9150,255,183,205,249,335,180,219,323,291,150
9152,0,0,0,0,0,0,0,1,0,0
9153,6,2,18,0,0,0,23,13,0,3
9154,0,1,0,20,2,2,2,2,0,2
9156,18,4,12,8,21,33,57,198,528,43
9158,652,540,567,601,784,563,587,1161,953,604
9159,1560,1082,1072,2186,1605,1582,1769,1213,1782,1299
9162,12,4,6,25,2,20,33,20,7,13
9166,831,802,558,319,782,404,559,560,1061,686
9167,1466,1508,1059,1212,1577,960,1306,2033,2014,1400
9168,9247,7421,7283,12041,14368,6067,8590,11119,21927,5205
9169,5236,4524,3536,1847,3268,3288,3890,4963,3451,3271
9170,265,263,274,203,457,240,446,380,333,251
9172,2,11,0,6,1,0,12,1,0,0
9173,6445,190,490,568,6494,101,475,44,97,455
9175,1156,990,825,536,922,805,1055,1985,1725,1393
9177,0,0,0,0,0,0,0,0,0,0
9179,236,387,292,173,275,176,380,373,364,240
9180,2592,2093,2673,4021,4931,3916,5068,1452,4648,3368
9181,5622,6720,5010,2650,4928,1849,3134,1429,1968,2875
9182,640,931,686,146,225,265,1045,726,205,417
9183,471,375,318,239,414,335,449,500,847,610
9184,1550,1352,1127,1067,1764,1241,1475,3820,3642,1579
9185,975,1557,738,222,1324,426,537,489,760,844
9187,516,427,371,302,407,301,539,426,309,506
9188,3012,1908,2177,5092,3806,2545,1702,5645,4867,1716
9189,12,5,3,17,7,2,11,9,6,9
9191,706,636,682,863,903,498,773,1488,588,702
9194,640,304,300,440,356,506,949,131,555,1132
9196,85,56,61,44,59,150,112,36,65,92
9197,1069,942,758,446,911,968,746,862,1363,1032
9200,262,314,318,102,290,90,112,19,282,30
9201,272,184,260,722,462,673,637,384,397,330
9202,2015,1853,1479,775,1345,1692,2045,1745,2232,2390
9203,1012,993,841,398,842,949,1563,2170,1139,1773
9204,1173,832,714,410,859,749,910,923,971,1054
9205,647,444,479,307,434,437,749,1011,466,481
9208,8712,6367,6082,4109,5922,2189,3345,4335,5475,3846
9209,1294,1222,1283,1104,1362,754,1054,889,1252,720
9210,0,1,3,0,0,0,0,0,0,0
9211,0,0,2,7,2,0,0,0,1,1
9212,10,8,24,8,42,45,53,364,407,66
9213,1340,1049,1162,953,1335,1099,1753,10154,2356,1592
9214,203,144,126,638,347,574,784,82,91,329
9215,432,469,402,461,605,387,521,335,150,557
9217,2055,2090,1490,922,1797,1148,1238,1826,2161,1263
9218,4747,4348,3857,3755,5901,2516,3100,4558,2582,13553
9219,1516,1285,1438,1596,1718,1523,1991,2690,2841,1408
9220,12,7,18,22,10,39,53,46,21,69
9221,1737,1460,1453,2713,2560,1841,1868,3600,4538,1631
9223,1712,1832,1235,711,1350,538,1084,808,589,913
9227,27,23,43,6,16,1,88,134,3,147
9228,0,0,0,0,0,0,0,0,0,0
9229,96,105,139,10,62,52,15,3,9,178
9230,1810,1840,1735,1783,1893,894,1384,1590,1103,1585
9231,0,0,24,0,0,0,0,0,1,0
9232,41,45,60,42,85,151,106,380,1229,104
9235,1614,1172,1578,1349,2677,1378,1096,591,1621,482
9236,771,595,600,431,621,465,689,643,738,823
9238,667,698,602,514,736,524,820,1203,1771,753
9240,797,691,725,673,691,630,701,1141,1251,471
9241,34,34,27,17,19,41,16,15,12,31
9242,54,51,107,280,241,332,108,69,54,52
9244,119,100,133,611,108,109,116,2108,85,487
9245,0,5,32,10,33,27,861,373,126,528
9246,1800,1452,1180,1466,2245,1215,1666,491,2653,1092
9247,0,1,0,0,0,0,0,0,0,0
9248,0,0,0,0,0,0,0,1,0,0
9249,1481,1606,1005,1738,1337,681,1291,473,868,1155
9252,392,379,358,315,317,138,182,173,169,694
9253,387,410,428,998,536,348,413,830,578,236
9254,5040,5409,3272,226,6212,1321,532,47,140,2739
9255,1211,1048,854,526,1078,688,747,1101,1373,901
9256,862,1501,1055,233,647,583,1445,926,165,1808
9258,1220,800,867,892,1610,627,574,1203,320,1115
9260,916,516,1244,1792,1194,1722,1729,982,2547,689
9261,2735,2384,2509,4077,4469,2280,2514,2395,2645,2027
9262,3829,1587,2748,2384,4369,2641,2637,1311,2487,2423
9263,1070,897,1105,729,1890,1095,1411,828,2332,829
9265,1942,1787,1590,1395,1727,930,1165,1546,1010,1004
9266,1130,1490,1262,1008,1474,843,2194,2660,1780,1055
9267,3676,2775,2799,3531,4033,1700,2373,2420,2135,2223
9270,968,1101,740,950,1143,645,801,1295,1557,797
9271,0,0,0,0,0,0,0,0,0,0
9274,449,489,339,370,389,249,374,292,381,428
9275,1157,1100,1007,1397,1312,556,712,492,1490,613
9276,3300,2829,2696,1887,3427,3657,3045,4915,8129,3679
9277,0,0,0,0,0,0,0,0,1,1
9278,0,0,0,0,0,0,0,0,0,0
9282,1663,1339,1233,749,1547,1479,1759,2913,2110,2053
9283,1,2,1,5,2,0,2,4,0,1
9284,20,10,25,12,19,35,34,21,11,46
9287,0,1,0,0,0,0,0,0,0,0
9288,0,0,1,0,0,0,0,0,1,0
9289,1312,1063,904,1988,1366,636,3696,4492,2726,2030
9290,64,16,13,12,22,54,31,17,11,36
9293,2,2,2,1,1,0,1,3,1,8
9294,343,405,386,893,397,422,316,257,288,260
9295,6857,6264,5254,2405,4879,5484,6440,7702,5099,8230
9296,1646,1040,1138,2231,1692,702,980,958,1361,1138
9297,6,4,6,7,10,21,16,42,30,10
9298,38,21,21,20,48,62,55,130,56,32
